Full Course Info,Subject,Course,Title,Prerequisites
CJUS 2361 - Juvenile Justice,CJUS,2361,Juvenile Justice,CJUS 1100 or CJUS 1511
CJUS 2370 - Rsch Methods in CJUS,CJUS,2370,Rsch Methods in CJUS,CJUS 1100 or CJUS 1511
CJUS 2380 - Intro to Law Enforcement,CJUS,2380,Intro to Law Enforcement,CJUS 1100 or CJUS 1511
CJUS 3000 - Topics in Criminal Justice,CJUS,3000,Topics in Criminal Justice,CJUS 1100 or CJUS 1511
CJUS 3320 - Criminal Justice and the Law,CJUS,3320,Criminal Justice and the Law,CJUS 2020 or CJUS 2320 or CJUS 3102 and (CJUS 1100 or CJUS 1511)
CJUS 3321 - Criminal Procedure,CJUS,3321,Criminal Procedure,CJUS 2320 or CJUS 2020 or CJUS 3102 and (CJUS 1100 or CJUS 1511)
CJUS 3341 - The Criminal Offender,CJUS,3341,The Criminal Offender,CJUS 1100 or CJUS 1511
CJUS 3351 - Community Corrections,CJUS,3351,Community Corrections,(CJUS 2050 or CJUS 2350 or CJUS 2154) and (CJUS 1100 or CJUS 1511)
CJUS 3352 - Institutional Corrections,CJUS,3352,Institutional Corrections,(CJUS 2050 or CJUS 2350 or CJUS 2154) and (CJUS 1100 or CJUS 1511)
CJUS 3353 - Juvenile Corrections,CJUS,3353,Juvenile Corrections,(CJUS 2350 or CJUS 2050 or CJUS 2154) and (CJUS 1100 or CJUS 1511)
CJUS 3354 - Punishment and Freedom,CJUS,3354,Punishment and Freedom,CJUS 1100 or CJUS 1511
CJUS 3363 - Mediation & Conflict Resltn,CJUS,3363,Mediation & Conflict Resltn,CJUS 1100 or CJUS 1511
CJUS 3366 - Domestic Violence,CJUS,3366,Domestic Violence,CJUS 1100 or CJUS 1511
CJUS 3380 - Law Enforcement Behav Systems,CJUS,3380,Law Enforcement Behav Systems,(CJUS 2010 or CJUS 2380 or CJUS 2000) and (CJUS 1100 or CJUS 1511)
CJUS 3800 - Directed Individual Study,CJUS,3800,Directed Individual Study,CJUS 1100 or CJUS 1511
CJUS 4351 - Violence & Violent Offender,CJUS,4351,Violence & Violent Offender,CJUS 1100 or CJUS 1511
CJUS 4352 - Serial Murder,CJUS,4352,Serial Murder,CJUS 1100 or CJUS 1511
"CJUS 4360 - Drugs, Crime, & CJUS System",CJUS,4360,"Drugs, Crime, & CJUS System",CJUS 1100 or CJUS 1511
"CJUS 4363 - Gender, Race, and Justice",CJUS,4363,"Gender, Race, and Justice",CJUS 1100 or CJUS 1511
CJUS 4370 - Data Analytics and Crime,CJUS,4370,Data Analytics and Crime,CJUS 1100 or CJUS 1511
CJUS 4373 - Intelligence Analysis,CJUS,4373,Intelligence Analysis,CJUS 1100 or CJUS 1511
CJUS 4375 - Comm Police & Crime Analysis,CJUS,4375,Comm Police & Crime Analysis,CJUS 1100 or CJUS 1511
CJUS 4377 - Crime Measurement,CJUS,4377,Crime Measurement,CJUS 1100 or CJUS 1511
CJUS 4379 - Qual Analysis in CJ,CJUS,4379,Qual Analysis in CJ,CJUS 1100 or CJUS 1511
CJUS 4701 - CJUS Honors Thesis II,CJUS,4701,CJUS Honors Thesis II,(CJUS 1100 or CJUS 1511) and CJUS 4700
CJUS 6902 - Thesis II,CJUS,6902,Thesis II,CJUS 6901
CMET 2105 - Plan Reading,CMET,2105,Plan Reading,ETCE 1222 and CMET 1400 and MATH 1103
CMET 2135 - Building Information Modeling,CMET,2135,Building Information Modeling,ETCE 1104
CMET 2175 - Survey of Structures,CMET,2175,Survey of Structures,ETGR 2101 and ETCE 2221
CMET 2221 - Construction Means & Methods,CMET,2221,Construction Means & Methods,ETCE 1222 and CMET 1400
CMET 3123 - Cost Estimating,CMET,3123,Cost Estimating,CMET 2105 and CMET 2105L and CMET 2221
CMET 3124 - Cost Estimating II,CMET,3124,Cost Estimating II,CMET 3123
CMET 4130 - Infrastructure Systems,CMET,4130,Infrastructure Systems,ETCE 3131 and CMET 3123
CMET 4135 - Construction Technologies,CMET,4135,Construction Technologies,CMET 3123 and CMET 3126 and CMET 3224
COMM 2102 - Advanced Public Speaking,COMM,2102,Advanced Public Speaking,COMM 1101
COMM 2145 - Prin of Public Relations,COMM,2145,Prin of Public Relations,JOUR 2100
COMM 3051 - Topics in Health Communication,COMM,3051,Topics in Health Communication,COMM 3115 or AFRS 2170
COMM 3052 - Topics in Media & Tech Studies,COMM,3052,Topics in Media & Tech Studies,COMM 3120
COMM 3100 - Comm Research Methods,COMM,3100,Comm Research Methods,COMM 2100 and (STAT 1220 or STAT 1221 or STAT 1222)
COMM 3115 - Health Communication,COMM,3115,Health Communication,COMM 2100 or HLTH 2101 or AFRS 2170
"COMM 3120 - Media, Technology & Comm",COMM,3120,"Media, Technology & Comm",COMM 2100
COMM 3130 - Rhetoric and Public Culture,COMM,3130,Rhetoric and Public Culture,COMM 2100
COMM 3141 - Organizational Communication,COMM,3141,Organizational Communication,COMM 2100
COMM 3142 - Applications in Org Comm,COMM,3142,Applications in Org Comm,COMM 3141
COMM 3160 - Business Communications,COMM,3160,Business Communications,INFO 2130
COMM 3245 - Public Relations Writing,COMM,3245,Public Relations Writing,JOUR 2100 and JOUR 2160 and COMM 2145
COMM 3403 - Forensics Practicum,COMM,3403,Forensics Practicum,COMM 2103
COMM 3880 - Independent Study,COMM,3880,Independent Study,COMM 1101
COMM 3891 - Honors Thesis II,COMM,3891,Honors Thesis II,COMM 3890
COMM 4141 - Adv Organizational Comm,COMM,4141,Adv Organizational Comm,COMM 3141
COMM 4145 - Communication Campaigns,COMM,4145,Communication Campaigns,COMM 3245 and COMM 2145
COMM 4615 - Seminar in Health Comm,COMM,4615,Seminar in Health Comm,COMM 3115
COMM 4652 - Adv Sem Media & Tech Studies,COMM,4652,Adv Sem Media & Tech Studies,COMM 3120
COMM 6999 - Thesis,COMM,6999,Thesis,COMM 6100 and COMM 6101
COSC 4800 - LEADS Capstone Project,COSC,4800,LEADS Capstone Project,CHES 2600 or COSC 2600
CSLG 6111 - Adv Counseling Techniques,CSLG,6111,Adv Counseling Techniques,CSLG 6100 and CSLG 6110
CSLG 6120 - Group Counseling,CSLG,6120,Group Counseling,CSLG 6110
CSLG 7143 - Child-Centered Relation. Trng.,CSLG,7143,Child-Centered Relation. Trng.,CSLG 7142
CSLG 7430 - Practicum in Counseling,CSLG,7430,Practicum in Counseling,CSLG 6100 and CSLG 6101 and CSLG 6110 and CSLG 7142
CSLG 7435 - Internship in Counseling,CSLG,7435,Internship in Counseling,CSLG 7430 and CSLG 7142
CSLG 8443 - Doctoral Internship: Research,CSLG,8443,Doctoral Internship: Research,CSLG 8105
CTCM 2530 - Critical Thinking & Comm,CTCM,2530,Critical Thinking & Comm,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
DANC 1210 - Ballet for Majors I B,DANC,1210,Ballet for Majors I B,DANC 1209
DANC 1218 - Modern Dance for Majors IB,DANC,1218,Modern Dance for Majors IB,DANC 1217
DANC 2210 - Ballet for Majors II B,DANC,2210,Ballet for Majors II B,DANC 2209
DANC 2216 - Choreography I,DANC,2216,Choreography I,DANC 1280 and DANC 1210 and DANC 1217
DANC 2218 - Modern Dance for Majors IIB,DANC,2218,Modern Dance for Majors IIB,DANC 2217
DANC 2403 - Dancing for Choreographers,DANC,2403,Dancing for Choreographers,DANC 1209 or DANC 1210 or DANC 1217 or DANC 1218 or DANC 2209 or DANC 2210 or DANC 2217 or DANC 2218 or DANC 3210 or DANC 3218
DANC 3131 - Hip Hop and Street Dance,DANC,3131,Hip Hop and Street Dance,DANC 2130
DANC 3202 - Prof Train Cert in Dance,DANC,3202,Prof Train Cert in Dance,DANC 3201
DANC 3210 - Ballet for Majors III,DANC,3210,Ballet for Majors III,DANC 2210
DANC 3218 - Modern Dance for Majors III,DANC,3218,Modern Dance for Majors III,DANC 2218
DANC 3230 - Choreography II,DANC,3230,Choreography II,DANC 2216
DANC 4202 - Prof Train Cert in Dance,DANC,4202,Prof Train Cert in Dance,DANC 4201
DANC 4227 - Elementary Methods,DANC,4227,Elementary Methods,DANC 1209 and DANC 1217 and DANC 1280 and (EDUC 1100 or EDUC 2100 or EDUC 1511) and SPED 2100
DANC 4328 - Teaching Dance,DANC,4328,Teaching Dance,DANC 1280 and DANC 2119
DANC 4800 - Dance Capstone Project,DANC,4800,Dance Capstone Project,DANC 4110
DSBA 6156 - Applied Machine Learning,DSBA,6156,Applied Machine Learning,DSBA 6201 or HCIP 6102
DSBA 6162 - Data Mining,DSBA,6162,Data Mining,DSBA 6160
DSBA 6165 - AI & Deep Learning,DSBA,6165,AI & Deep Learning,DSBA 6156
DSBA 6190 - Cloud Comput for Data Analysis,DSBA,6190,Cloud Comput for Data Analysis,DSBA 6160 and DSBA 6156
DSBA 6211 - Advanced Business Analytics,DSBA,6211,Advanced Business Analytics,DSBA 6201 or DSBA 6162
DTSC 2301 - Modeling and Society,DTSC,2301,Modeling and Society,DTSC 1302 and (STAT 1220 or STAT 1221 or STAT 1222)
DTSC 2302 - Modeling and Society,DTSC,2302,Modeling and Society,DTSC 1301 and DTSC 1302 and (STAT 1220 or STAT 1221 or STAT 1222)
DTSC 4301 - Data Science for Social Good A,DTSC,4301,Data Science for Social Good A,DTSC 3602 and STAT 2223
DTSC 4302 - Data Science for Social Good B,DTSC,4302,Data Science for Social Good B,STAT 2223 and DTSC 3602
ECGR 2104 - Computer Engr Programming II,ECGR,2104,Computer Engr Programming II,ECGR 2103 or ITSC 1212 or ITCS 1212 or ITIS 1212
ECGR 2111 - Network Theory I,ECGR,2111,Network Theory I,MATH 2171
ECGR 2112 - Network Theory II,ECGR,2112,Network Theory II,(ECGR 2111 or ECGR 2161) and MATH 2171 and PHYS 2102 and ECGR 2254
ECGR 2155 - Instrum and Networks Lab,ECGR,2155,Instrum and Networks Lab,MATH 1242 and ECGR 2111
ECGR 2156 - Logic and Networks Lab,ECGR,2156,Logic and Networks Lab,ECGR 2155 and ECGR 2112 and ECGR 2181
ECGR 2161 - Basic Electrical Engineering I,ECGR,2161,Basic Electrical Engineering I,PHYS 2102
ECGR 2181 - Logic System Design I,ECGR,2181,Logic System Design I,MATH 1242
ECGR 2254 - Analytical Foundations of ECE,ECGR,2254,Analytical Foundations of ECE,MATH 2171 and MATH 2164
ECGR 3111 - Signals and Systems,ECGR,3111,Signals and Systems,ECGR 2112 and ECGR 2254
ECGR 3112 - System Analysis II,ECGR,3112,System Analysis II,ECGR 3111
ECGR 3121 - Intro Electromagnetic Fields,ECGR,3121,Intro Electromagnetic Fields,ECGR 2112 and MATH 2241
ECGR 3122 - Electromagnetic Waves,ECGR,3122,Electromagnetic Waves,ECGR 3121
ECGR 3123 - Data Comm and Networking,ECGR,3123,Data Comm and Networking,ECGR 2181 and ECGR 2111
ECGR 3131 - Fund Electronics & Semiconduct,ECGR,3131,Fund Electronics & Semiconduct,ECGR 2112
ECGR 3132 - Electronics,ECGR,3132,Electronics,ECGR 3131
ECGR 3142 - Electrical Energy Conversion,ECGR,3142,Electrical Energy Conversion,ECGR 3121
ECGR 3155 - Systems & Electronics Lab,ECGR,3155,Systems & Electronics Lab,ECGR 2112 and ECGR 2156 and ECGR 3111 and ECGR 3131
ECGR 3156 - Electromag & Elec Devices Lab,ECGR,3156,Electromag & Elec Devices Lab,ECGR 3155 and ECGR 3132
ECGR 3157 - ECE Junior Design,ECGR,3157,ECE Junior Design,ECGR 3111 and ECGR 3131
ECGR 3183 - Computer Organization,ECGR,3183,Computer Organization,ECGR 2104 and ECGR 2181
ECGR 3695 - ECGR Educ Co-op Seminar,ECGR,3695,ECGR Educ Co-op Seminar,ENGR 3590 or ENGR 3500
ECGR 4105 - Introduction to ML,ECGR,4105,Introduction to ML,ECGR 3111 or ECGR 3101
ECGR 4106 - Real-Time Machine Learning,ECGR,4106,Real-Time Machine Learning,ECGR 3101 or ECGR 3111
ECGR 4123 - Analog & Digital Communication,ECGR,4123,Analog & Digital Communication,ECGR 3111
ECGR 4124 - Digital Signal Processing,ECGR,4124,Digital Signal Processing,ECGR 3111
ECGR 4125 - Found of Optical Engineering,ECGR,4125,Found of Optical Engineering,ECGR 3121 and PHYS 3141
ECGR 4127 - Machine Learning for IoT,ECGR,4127,Machine Learning for IoT,ECGR 4105 or ECGR 5105
ECGR 4142 - Power System Analysis II,ECGR,4142,Power System Analysis II,ECGR 4141
ECGR 4143 - Electrical Machinery,ECGR,4143,Electrical Machinery,ECGR 3142
ECGR 4146 - Intro to VHDL,ECGR,4146,Intro to VHDL,ECGR 2181
ECGR 4151 - Solar Cell Fundmntls & Technlg,ECGR,4151,Solar Cell Fundmntls & Technlg,ENGR 1202
